Time, L Pixel X  , L Pixel Y  , L Pixel Z, L hit point in Z , R Pixel X  , R Pixel Y  , R Pixel Z, R hit point in Z , C Pixel X  , C Pixel Y  , C Pixel Z, C hit point in Z , L Origin X  , L Origin Y  , L Origin Z, R Origin X  , R Origin Y  , R Origin Z
637407830638969081, 719.4744 , 869.5691 , 46,46.45175, 684.7623 , 868.0041 , 46,46.40255, 699.0775 , 868.6545 , 46,46.40174, 0.03174973 , -0.000113617 , -0.02789337,-0.02759166 , -0.0009615937 , -0.02538712
637407830639013728, 719.4743 , 869.5691 , 46,46.46476, 684.7623 , 868.0041 , 46,46.41718, 699.0775 , 868.6547 , 46,46.41569, 0.03174973 , -0.000113617 , -0.02789337,-0.02759166 , -0.0009615937 , -0.02538712
637407830639083158, 717.0358 , 868.1008 , 46,46.47937, 683.8372 , 869.1271 , 46,46.42286, 692.8289 , 868.8491 , 46,46.42249, 0.03175832 , -6.637574E-05 , -0.02798433,-0.02758823 , -0.0009457093 , -0.02536337
637407830639187332, 722.1306 , 870.785 , 46,46.48663, 685.7853 , 870.8956 , 46,46.41712, 688.3569 , 870.8929 , 46,46.41575, 0.03175449 , -5.519104E-05 , -0.02796459,-0.0275847 , -0.0009182587 , -0.02529173
637407830639306371, 720.2 , 870.7957 , 46,46.48668, 684.0057 , 872.9252 , 46,46.41314, 686.3284 , 872.7906 , 46,46.41217, 0.03175453 , -3.93219E-05 , -0.02797948,-0.02758199 , -0.000917038 , -0.02526114
637407830639410517, 719.182 , 874.3358 , 46,46.46118, 687.0708 , 869.2686 , 46,46.4511, 690.76 , 869.8464 , 46,46.44457, 0.03175252 , -2.658081E-05 , -0.02798689,-0.02758791 , -0.0009385986 , -0.02517091
637407830639524611, 718.5843 , 874.2925 , 46,46.46551, 686.9358 , 872.0645 , 46,46.43644, 704.9485 , 873.3318 , 46,46.43523, 0.0317488 , -2.658081E-05 , -0.02796709,-0.02759589 , -0.0009073181 , -0.02515265
637407830639638675, 718.5325 , 874.1345 , 46,46.46955, 688.8267 , 873.2817 , 46,46.43088, 712.4403 , 873.9543 , 46,46.45129, 0.03174654 , -2.676392E-05 , -0.02795282,-0.02759981 , -0.000891388 , -0.0251592
637407830639742840, 718.7045 , 874.9431 , 46,46.46568, 688.0814 , 873.8246 , 46,46.4321, 712.7155 , 874.7273 , 46,46.44846, 0.0317488 , -2.658081E-05 , -0.02796709,-0.02760178 , -0.0008843995 , -0.02516226
637407830639871799, 719.1611 , 876.8169 , 46,46.45213, 688.1437 , 876.9089 , 46,46.41008, 709.9505 , 876.8485 , 46,46.42517, 0.03175252 , -2.397156E-05 , -0.02798689,-0.02760551 , -0.0008907776 , -0.02513376
637407830639975966, 719.0598 , 874.9951 , 46,46.46352, 687.4935 , 878.4506 , 46,46.40106, 705.7421 , 876.4518 , 46,46.41949, 0.03175217 , 2.490235E-05 , -0.02808669,-0.02760729 , -0.000891388 , -0.02510832
637407830640080117, 718.967 , 873.3163 , 46,46.4743, 687.7513 , 878.8994 , 46,46.39913, 699.9367 , 876.7197 , 46,46.41127, 0.03175182 , 7.011414E-05 , -0.02817696,-0.02760825 , -0.0008917237 , -0.02511272
637407830640189236, 719.0167 , 874.837 , 46,46.45971, 687.903 , 879.5428 , 46,46.39763, 695.9595 , 878.3228 , 46,46.4001, 0.03175084 , 6.954956E-05 , -0.02817732,-0.02760922 , -0.000891388 , -0.0251171
637407830640308276, 719.092 , 876.6317 , 46,46.44173, 687.9504 , 881.0993 , 46,46.38819, 692.9474 , 880.3857 , 46,46.38722, 0.03174933 , 6.954956E-05 , -0.02817732,-0.02760958 , -0.0008901673 , -0.0251592
637407830640417397, 723.762 , 880.3997 , 46,46.42529, 688.3921 , 881.5027 , 46,46.39009, 692.0942 , 881.3908 , 46,46.38537, 0.03171344 , -5.603028E-05 , -0.0277946,-0.02760996 , -0.0008838043 , -0.02516226
637407830640531478, 725.1668 , 882.6951 , 46,46.4093, 688.8066 , 882.0565 , 46,46.38936, 690.1861 , 882.0795 , 46,46.38668, 0.03170213 , -5.909729E-05 , -0.02778169,-0.02761067 , -0.0008715058 , -0.02517921
637407830640635637, 725.9219 , 881.6698 , 46,46.41551, 688.8326 , 882.1174 , 46,46.39233, 689.6709 , 882.1103 , 46,46.39066, 0.03169809 , -5.645752E-05 , -0.02778929,-0.02761102 , -0.0008656007 , -0.02519312
637407830640749718, 726.3037 , 881.8381 , 46,46.41213, 688.5846 , 882.4659 , 46,46.39624, 689.0912 , 882.4612 , 46,46.39508, 0.03169408 , -5.282593E-05 , -0.02779357,-0.02761408 , -0.0008501435 , -0.02524034
637407830640858842, 726.9628 , 880.3812 , 46,46.42018, 692.3353 , 882.8585 , 46,46.38791, 693.8975 , 882.7487 , 46,46.38564, 0.03168627 , -4.44336E-05 , -0.02780945,-0.02762619 , -0.0008188324 , -0.02534572
637407830640967960, 732.3192 , 883.0455 , 46,46.41236, 690.5714 , 882.9881 , 46,46.39386, 697.7393 , 882.9955 , 46,46.37934, 0.0316566 , -4.267884E-05 , -0.02781007,-0.02764385 , -0.0008188324 , -0.02534572
637407830641082035, 733.3415 , 881.8885 , 46,46.4189, 701.6817 , 884.8476 , 46,46.36305, 716.1461 , 883.4938 , 46,46.37058, 0.03164482 , -5.41687E-05 , -0.02777185,-0.02772644 , -0.0008359681 , -0.02526235
637407830641201078, 735.7078 , 880.3394 , 46,46.43297, 709.4456 , 886.2085 , 46,46.34809, 731.4748 , 881.2857 , 46,46.41223, 0.03162805 , 1.38855E-06 , -0.02795566,-0.02772719 , -0.000729126 , -0.02573732
637407830641305243, 736.7926 , 880.4123 , 46,46.43097, 706.3545 , 888.5563 , 46,46.33486, 729.506 , 882.3607 , 46,46.39495, 0.03162206 , 5.020142E-06 , -0.02796866,-0.02775453 , -0.0008502045 , -0.02540324
