Time, L Pixel X  , L Pixel Y  , L Pixel Z, L hit point in Z , R Pixel X  , R Pixel Y  , R Pixel Z, R hit point in Z , C Pixel X  , C Pixel Y  , C Pixel Z, C hit point in Z , L Origin X  , L Origin Y  , L Origin Z, R Origin X  , R Origin Y  , R Origin Z
637407836432567150, 716.0942 , 786.5336 , 3.944728,4.360235, 691.9867 , 780.4473 , 3.839022,4.268373, 710.3145 , 785.0718 , 3.918889,4.337021, 0.03353781 , -0.001146378 , -0.03160054,-0.02651422 , -6.806946E-05 , -0.0271093
637407836432586699, 717.7471 , 786.1974 , 3.966132,4.358871, 691.9708 , 780.93 , 3.873894,4.278828, 703.2513 , 783.243 , 3.913924,4.312406, 0.03354537 , -0.001029434 , -0.0319841,-0.02651422 , -6.806946E-05 , -0.0271093
637407836432730525, 718.3154 , 787.1806 , 4.009121,4.377914, 692.2897 , 780.499 , 3.892756,4.276186, 694.5665 , 781.0838 , 3.902704,4.284496, 0.03354883 , -0.001025467 , -0.03202146,-0.02651172 , -6.806946E-05 , -0.0271093
637407836432809896, 718.5905 , 786.6637 , 4.027938,4.373883, 691.3918 , 781.3352 , 3.934029,4.292378, 691.9982 , 781.4489 , 3.935996,4.293975, 0.03355086 , -0.001025269 , -0.03202496,-0.02650581 , -7.705689E-05 , -0.02710217
637407836432958686, 717.2304 , 786.0429 , 4.044509,4.369269, 692.0239 , 781.4066 , 3.962528,4.298322, 692.2922 , 781.4506 , 3.963295,4.298936, 0.03355354 , -0.001019898 , -0.0320273,-0.02649146 , -0.0001060944 , -0.02700371
637407836433028127, 717.2129 , 785.1635 , 4.059062,4.362267, 691.7281 , 780.8612 , 3.982732,4.296508, 692.1782 , 780.9313 , 3.98396,4.297485, 0.03355413 , -0.001014999 , -0.03204351,-0.02648938 , -0.0001111755 , -0.02697568
637407836433176934, 716.223 , 785.5513 , 4.095385,4.374718, 690.9811 , 780.0038 , 3.997744,4.290267, 695.1627 , 780.931 , 4.013764,4.303503, 0.03355737 , -0.001013733 , -0.03206668,-0.02648938 , -0.0001111755 , -0.02697568
637407836433251338, 716.2231 , 785.5508 , 4.123998,4.380294, 690.981 , 780.0027 , 4.025915,4.295459, 695.1627 , 780.9304 , 4.042015,4.308755, 0.03355737 , -0.001013733 , -0.03206668,-0.02648938 , -0.0001111755 , -0.02697568
637407836433395177, 716.7477 , 785.1458 , 4.147419,4.381349, 690.9742 , 780.5989 , 4.065928,4.311302, 711.3734 , 784.1932 , 4.130102,4.365685, 0.03356203 , -0.001013733 , -0.03207916,-0.02648352 , -0.0001245422 , -0.02694718
637407836433474526, 716.7043 , 784.4824 , 4.168281,4.379705, 690.9675 , 781.2826 , 4.109561,4.33001, 710.7351 , 783.7446 , 4.154596,4.367304, 0.03356205 , -0.001013733 , -0.03207916,-0.02648352 , -0.0001307831 , -0.02694695
637407836433618362, 716.7215 , 784.4916 , 4.195999,4.384745, 688.0546 , 780.5483 , 4.124493,4.324469, 710.1065 , 783.5801 , 4.179263,4.369628, 0.03356205 , -0.001013733 , -0.03207916,-0.02650652 , -0.0002154083 , -0.02674187
637407836433697736, 716.7299 , 784.2501 , 4.220757,4.386841, 687.751 , 777.65 , 4.105317,4.28749, 712.1219 , 783.2031 , 4.202044,4.369929, 0.03356205 , -0.001014771 , -0.03207916,-0.02651227 , -0.0002042694 , -0.02676871
637407836433841572, 716.8074 , 784.0426 , 4.245898,4.389433, 689.6152 , 780.6989 , 4.185894,4.338791, 714.6548 , 783.7731 , 4.241005,4.384932, 0.03356205 , -0.001014771 , -0.03207916,-0.02650643 , -0.0002494507 , -0.02669211
637407836433915965, 715.998 , 783.8178 , 4.272052,4.392944, 689.6551 , 782.7651 , 4.252121,4.377995, 714.6804 , 783.765 , 4.271049,4.391966, 0.03356205 , -0.001017365 , -0.03207916,-0.0265006 , -0.0002623902 , -0.02670732
637407836434059804, 713.593 , 781.1859 , 4.259527,4.361699, 688.2248 , 774.4661 , 4.146194,4.263968, 711.1799 , 780.5447 , 4.248464,4.351756, 0.03355359 , -0.001034851 , -0.03187224,-0.02652643 , -0.0002366486 , -0.02656328
637407836434139178, 714.6603 , 780.2291 , 4.277965,4.358225, 686.7198 , 775.5079 , 4.198339,4.290706, 709.1442 , 779.2903 , 4.261899,4.343737, 0.03355145 , -0.001073761 , -0.03174544,-0.02652422 , -0.0002746277 , -0.02641428
